Course,Category,Event,Time,Record Type,Swimmer,Club/Nation,Date,Meet,Location
Long Course,Men,50m freestyle,21.67,=,Roland Schoeman,South Africa,16 August 2008,Olympic Games,"Beijing, China"
Long Course,Men,50m freestyle,21.67,"=, sf",Roland Schoeman,South Africa,2 August 2013,World Championships,"Barcelona, Spain"
Long Course,Men,100m freestyle,47.79,h,Lyndon Ferns,South Africa,29 July 2009,World Championships,"Rome, Italy"
Long Course,Men,200m freestyle,1:45.20,,Chad le Clos,South Africa,8 August 2016,Olympic Games,"Rio de Janeiro, Brazil"
Long Course,Men,400m freestyle,3:40.70,,Ahmed Hafnaoui,Tunisia,23 July 2023,World Championships,"Fukuoka, Japan"
Long Course,Men,800m freestyle,7:35.27,,Oussama Mellouli,Tunisia,29 July 2009,World Championships,"Rome, Italy"
Long Course,Men,1500m freestyle,14:31.54,,Ahmed Hafnaoui,Tunisia,30 July 2023,World Championships,"Fukuoka, Japan"
Long Course,Men,50m backstroke,24.17,,Pieter Coetze,South Africa,3 August 2025,World Championships,"Singapore, Singapore"
Long Course,Men,100m backstroke,51.85,CR,Pieter Coetze,South Africa,29 July 2025,World Championships,"Singapore, Singapore"
Long Course,Men,200m backstroke,1:53.36,,Pieter Coetze,South Africa,1 August 2025,World Championships,"Singapore, Singapore"
Long Course,Men,50m breaststroke,26.54,h,Cameron van der Burgh,South Africa,25 July 2017,World Championships,"Budapest, Hungary"
Long Course,Men,100m breaststroke,58.46,,Cameron van der Burgh,South Africa,29 July 2012,Olympic Games,"London, United Kingdom"
Long Course,Men,200m breaststroke,2:09.61,sf,Neil Versfeld,South Africa,30 July 2009,World Championships,"Rome, Italy"
Long Course,Men,50m butterfly,22.80,,Abdelrahman Sameh,Egypt,18 May 2025,Mare Nostrum,"Monte Carlo, Monaco"
Long Course,Men,100m butterfly,50.56,,Chad le Clos,South Africa,8 August 2015,World Championships,"Kazan, Russia"
Long Course,Men,200m butterfly,1:52.96,,Chad le Clos,South Africa,31 July 2012,Olympic Games,"London, United Kingdom"
Long Course,Men,200m individual medley,1:57.03,sf,Darian Townsend,South Africa,25 April 2009,French Championships,"Montpellier, France"
Long Course,Men,400m individual medley,4:10.53,,Oussama Mellouli,Tunisia,29 June 2009,Mediterranean Games,"Pescara, Italy"
Long Course,Men,4x50m freestyle relay,1:28.78,,"Lyndon Ferns, Roland Schoeman, Gerhard Zandberg, Ryk Neethling",South Africa,2 April 2003,,
Long Course,Men,4x100m freestyle relay,3:11.93,,"Lyndon Ferns, (48.32), Graeme Moore, (48.05), Darian Townsend, (48.05), Roland Schoeman, (47.51)",South Africa,26 July 2009,World Championships,"Rome, Italy"
Long Course,Men,4x200m freestyle relay,7:08.01,h,"Jean Basson, (1:45.99), Darian Townsend, (1:46.22), Jan Venter, (1:47.78), Sebastien Rousseau, (1:48.02)",South Africa,31 July 2009,World Championships,"Rome, Italy"
Long Course,Men,4x100m medley relay,3:31.53,h,"George Du Rand, (53.90), Cameron van der Burgh, (58.32), Lyndon Ferns, (52.06), Graeme Moore, (47.25)",South Africa,2 August 2009,World Championships,"Rome, Italy"
Long Course,Women,50m freestyle,24.62,sf,Farida Osman,Egypt,29 July 2017,World Championships,"Budapest, Hungary"
Long Course,Women,100m freestyle,54.23,,Erin Gallagher,South Africa,9 April 2018,Commonwealth Games,"Gold Coast, Australia"
Long Course,Women,200m freestyle,1:56.80,r,Aimee Canny,South Africa,12 April 2024,South African Championships,"Port Elizabeth, South Africa"
Long Course,Women,400m freestyle,4:07.92,,Karin Prinsloo,South Africa,31 January 2014,Aquatic Super Series,"Perth, Australia"
Long Course,Women,800m freestyle,8:25.71,,Wendy Trott,South Africa,14 June 2012,Trofeo Sette Colli,"Rome, Italy"
Long Course,Women,1500m freestyle,16:05.63,h,Wendy Trott,South Africa,25 July 2011,World Championships,"Shanghai, China"
Long Course,Women,50m backstroke,27.67,,Jessica Thompson,South Africa,18 March 2026,South African Youth Championships,"Gqeberha, South Africa"
Long Course,Women,100m backstroke,58.77,sf,Kirsty Coventry,Zimbabwe,11 August 2008,Olympic Games,"Beijing, China"
