Course,Category,Event,Time,Record Type,Swimmer,Club/Nation,Date,Meet,Location
Long Course,Men,50m freestyle,21.94,=,Ali Khalafalla,Mission Viejo Nadadores,10 April 2021,Birmingham Swim League Iron City Invite,"Birmingham, United States"
Long Course,Men,50m freestyle,21.94,"=, #",Abdelrahman Sameh,Egypt,21 May 2025,Mare Nostrum,"Barcelona, Monaco"
Long Course,Men,100m freestyle,48.77,h,Youssef Ramadan,Egypt,26 July 2023,World Championships,"Fukuoka, Japan"
Long Course,Men,200m freestyle,1:47.40,h,Marwan Elkamash,Egypt,24 July 2017,World Championships,"Budapest, Hungary"
Long Course,Men,400m freestyle,3:46.36,h,Marwan Elkamash,Egypt,23 July 2017,World Championships,"Budapest, Hungary"
Long Course,Men,800m freestyle,7:46.55,h,Marwan Elkamash,Egypt,25 July 2023,World Championships,"Fukuoka, Japan"
Long Course,Men,1500m freestyle,14:53.66,,Ahmed Akram,Egypt,8 August 2015,World Championships,"Kazan, Russia"
Long Course,Men,50m backstroke,24.93,h,Mohamed Samy,Egypt,8 April 2022,Berlin Open,"Berlin, Germany"
Long Course,Men,100m backstroke,54.67,h,Mohamed Samy,Egypt,19 June 2022,World Championships,"Budapest, Hungary"
Long Course,Men,200m backstroke,2:00.84,,Mohamed Mohamady,Egypt,22 July 2022,Arab Championships,"Oran, Algeria"
Long Course,Men,50m breaststroke,27.21,h,Youssef El-Kamash,Indiana,26 June 2021,Bahamian Championships,"Nassau, The Bahamas"
Long Course,Men,100m breaststroke,1:01.05,,Youssef El-Kamash,Grand Canyon University,13 April 2018,TYR Pro Swim Series,"Mesa, United States"
Long Course,Men,200m breaststroke,2:14.83,,Youssef El-Kamash,Egypt,23 August 2019,African Games,"Casablanca, Morocco"
Long Course,Men,50m butterfly,22.94,sf,Abdelrahman Sameh,Egypt,23 July 2023,World Championships,"Fukuoka, Japan"
Long Course,Men,50m butterfly,22.80,"AF, #",Abdelrahman Sameh,Egypt,18 May 2025,Mare Nostrum,"Monte Carlo, Monaco"
Long Course,Men,100m butterfly,51.67,h,Youssef Ramadan,Egypt,29 July 2021,Olympic Games,"Tokyo, Japan"
Long Course,Men,200m butterfly,1:57.85,h,Abdalla Nasr,Egypt,13 February 2024,World Championships,"Doha, Qatar"
Long Course,Men,200m individual medley,2:00.22,sf,Mohamed Hussein,Egypt,5 August 2015,World Championships,"Kazan, Russia"
Long Course,Men,400m individual medley,4:23.02,h,Ahmed Hamdy,Egypt,9 August 2015,World Championships,"Kazan, Russia"
Long Course,Men,4x50m freestyle relay,1:36.25,,"Ahmed Salah Abdo, Joseph George, Ahmed Al Kafrawi, Mustafa Atef",Al Ahly SC,2007,Egyptian Cup,"Cairo, Egypt"
Long Course,Men,4x100m freestyle relay,3:18.23,h,"Ali Khalafalla, (49.80), Mohamed Samy, (48.89), Youssef Abdalla, (50.27), Mohamed Hussein, (49.27)",Egypt,23 July 2017,World Championships,"Budapest, Hungary"
Long Course,Men,4x200m freestyle relay,7:16.95,h,"Marwan Elkamash, (1:48.80), Mohamed Samy, (1:48.27), Ahmed Akram, (1:48.89), Marwan El-Amrawy, (1:50.99)",Egypt,28 July 2017,World Championships,"Budapest, Hungary"
Long Course,Men,10x50m freestyle relay,4:08.76,,"Hassan Yasser Ezzat, Mohamed Emad Khalifa, Youssef Omar Shoeb, Mohamed Samy, Ahmed Kamal Hafez, Marawan Tarek Mohamed, Mohamed Ahmed Bahaa, Mostafa Akram Abdelmonem, Ahmed Wael Gallal, Aly Ahmed Sultan",Al Maadi,2014,Egyptian Championships,"Cairo, Egypt"
Long Course,Men,4x50m medley relay,1:45.80,,,,2014,Egyptian Championships,"Cairo, Egypt"
Long Course,Men,4x100m medley relay,3:39.03,h,"Mohamed Samy, (55.23), Youssef El-Kamash, (1:00.97), Abdelrahman Sameh, (53.99), Ali Khalafalla, (48.84)",Egypt,28 July 2019,World Championships,"Gwangju, South Korea"
Long Course,Women,50m freestyle,24.62,"sf, AF",Farida Osman,Egypt,29 July 2017,World Championships,"Budapest, Hungary"
Long Course,Women,100m freestyle,54.93,h,Farida Osman,Egypt,25 July 2019,World Championships,"Gwangju, South Korea"
Long Course,Women,200m freestyle,2:01.93,h,Rania Elwani,Egypt,18 September 2000,Olympic Games,"Sydney, Australia"
Long Course,Women,400m freestyle,4:18.14,,Lojine Abdallah,All Stars Swimming Academy,7 February 2026,Dubai Open Championships,"Dubai, United Arab Emirates"
Long Course,Women,800m freestyle,8:47.67,,Hania Moro,Retriever Aquatic Club,4 December 2019,U.S. Open,"Atlanta, United States"
Long Course,Women,1500m freestyle,16:48.80,,Hania Moro,Retriever Aquatic Club,7 December 2019,U.S. Open,"Atlanta, United States"
Long Course,Women,50m backstroke,29.17,h,Samiha Mohsen,Egypt,11 October 2021,African Championships,"Accra, Ghana"
Long Course,Women,100m backstroke,1:03.03,h,Dina Hegazy,Al Shams,27 July 2009,World Championships,"Rome, Italy"
Long Course,Women,200m backstroke,2:14.28,,Dina Hegazy,Trojan S.C.,19 June 2009,Swim Meet of Champions,"Mission Viejo, United States"
Long Course,Women,50m breaststroke,32.14,h,Mai Atef Abdelfattah,Egypt,8 August 2015,World Championships,"Kazan, Russia"
Long Course,Women,100m breaststroke,1:10.59,,Mai Atef Abdelfattah,Egypt,September 2014,Arab Championships,"Casablanca, Morocco"
Long Course,Women,200m breaststroke,2:33.13,,Salma Abdelraouf Zinhom,Al Zohour,2002,Egyptian Championships,"Cairo, Egypt"
Long Course,Women,50m butterfly,25.38,AF,Farida Osman,Egypt,24 June 2022,World Championships,"Budapest, Hungary"
Long Course,Women,100m butterfly,57.66,AF,Farida Osman,Egypt,19 June 2022,World Championships,"Budapest, Hungary"
Long Course,Women,200m butterfly,2:13.60,h,Nour Elgendy,Unattached,21 December 2024,Gyor Open,"Gyor, Hungary"
Long Course,Women,200m individual medley,2:19.74,,Nour Elgendy,Egypt,13 March 2024,African Games,"Accra, Ghana"
Long Course,Women,400m individual medley,4:56.88,,Rowida Hesham,Egypt,6 April 2016,6th Dubai International Championships,"Dubai, United Arab Emirates"
Long Course,Women,4x50m freestyle relay,1:51.69,,"Heba Yehya, Salma Zenhom, Asmaa Katareya, May Atef Hassan",Al Ahly SC,2007,Egyptian Cup,"Cairo, Egypt"
Long Course,Women,4x100m freestyle relay,3:48.47,,"Farida Osman, (55.86), Nour El-Gendy, (57.53), Lojine Hamed, (57.54), Nadine Abdallah, (57.54)",Egypt,12 March 2024,African Games,"Accra, Ghana"
