Course,Category,Event,Time,Record Type,Swimmer,Club/Nation,Date,Meet,Location
Long Course,Men,50m freestyle,23.03,,Oussama Mellouli,Tunisia,19 December 2011,Pan Arab Games,"Doha, Qatar"
Long Course,Men,100m freestyle,49.55,,Oussama Mellouli,Tunisia,21 December 2011,Pan Arab Games,"Doha, Qatar"
Long Course,Men,200m freestyle,1:46.44,,Oussama Mellouli,Tunisia,30 June 2009,Mediterranean Games,"Pescara, Italy"
Long Course,Men,400m freestyle,3:40.70,AF,Ahmed Hafnaoui,Tunisia,23 July 2023,World Championships,"Fukuoka, Japan"
Long Course,Men,800m freestyle,7:35.27,AF,Oussama Mellouli,Tunisia,29 July 2009,World Championships,"Rome, Italy"
Long Course,Men,1500m freestyle,14:31.54,AF,Ahmed Hafnaoui,Tunisia,30 July 2023,World Championships,"Fukuoka, Japan"
Long Course,Men,50m backstroke,26.65,,Oussama Mellouli,Tunisia,29 September 2004,Pan Arab Games,"Algiers, Algeria"
Long Course,Men,100m backstroke,55.69,b,Mohamed-Yassine Ben Abbes,Grenoble Alp'38,15 June 2025,French Championships,"Montpellier, France"
Long Course,Men,200m backstroke,1:58.35,,Mohamed-Yassine Ben Abbes,Grenoble Alp'38,17 June 2025,French Championships,"Montpellier, France"
Long Course,Men,50m breaststroke,28.02,,Adnan Beji,Tunisia,23 August 2022,African Championships,"Tunis, Tunisia"
Long Course,Men,100m breaststroke,1:01.26,,Wassim Elloumi,Tunisia,10 September 2018,African Championships,"Algiers, Algeria"
Long Course,Men,200m breaststroke,2:14.35,b,Wassim Elloumi,SO Millau,28 May 2017,French Championships,"Schiltigheim, France"
Long Course,Men,50m butterfly,24.90,,Oussama Mellouli,Tunisia,20 December 2011,Pan Arab Games,"Doha, Qatar"
Long Course,Men,100m butterfly,53.73,,Oussama Mellouli,Tunisia,18 December 2011,Pan Arab Games,"Doha, Qatar"
Long Course,Men,200m butterfly,1:58.12,,Oussama Mellouli,,9 April 2011,,"Michigan, United States"
Long Course,Men,200m individual medley,1:58.38,,Oussama Mellouli,Tunisia,27 June 2009,Mediterranean Games,"Pescara, Italy"
Long Course,Men,400m individual medley,4:10.53,AF,Oussama Mellouli,Tunisia,29 June 2009,Mediterranean Games,"Pescara, Italy"
Long Course,Men,4x100m freestyle relay,3:23.87,,"Taki Mrabet, Talel M'Rabet, Ahmed Mathlouthi, Oussama Mellouli",Tunisia,20 December 2011,Pan Arab Games,"Doha, Qatar"
Long Course,Men,4x200m freestyle relay,7:21.56,,"Farouk Ben Jeddi, (1:52.44), Ahmed Mathlouthi, (1:47.38), Taki Mrabet, (1:54.29), Oussama Mellouli, (1:47.45)",Tunisia,29 June 2009,Mediterranean Games,"Pescara, Italy"
Long Course,Men,4x100m medley relay,3:46.67,,"Taki Mrabet, Wassim Elloumi, Oussama Mellouli, Ahmed Mathlouthi",Tunisia,22 December 2011,Pan Arab Games,"Doha, Qatar"
Long Course,Women,50m freestyle,26.32,,Senda Gharbi,,,,
Long Course,Women,100m freestyle,57.33,,Zeineb Khalfalah,,28 September 2011,,"Algiers, Algeria"
Long Course,Women,200m freestyle,2:03.78,h,Rim Quenniche,Amiens Métropole Natation,25 May 2017,French Championships,"Schiltigheim, France"
Long Course,Women,400m freestyle,4:17.75,,Jamila Boulekbech,Martigues Natation,13 March 2026,Lausanne Cup,"Lausanne, Switzerland"
Long Course,Women,800m freestyle,8:48.02,,Jamila Boulekbech,Martigues Natation,19 December 2025,Francily Open National Meeting,"Taverny, France"
Long Course,Women,1500m freestyle,16:48.29,,Jamila Boulekbech,Martigues Natation,31 January 2026,Euro Meet,"Luxembourg, Luxembourg"
Long Course,Women,50m backstroke,29.98,,Farah Benkhelil,Tunisia,13 July 2018,Arab Championships,"Rades, Tunisia"
